Topic Number,Score,Documents
52,0.0009489916963226571,225888    636668    837758    86187
53,0.021826809015421115,283513    287665    379316    391332    398410    482599    485316    504419    535264    541491    562229    563235    564853    566553    571409    586118    604653    609192    612877    613510    620493    627045    643116    656289    656400    658976    669435    669534    671629    672885    673150    674109    676692    677151    679639    680605    680979    688748    691559    691755    696211    699015    699290    700805    702544    703258    707784    709451    710332    711104    715319    718033    718931    720415    722875    727802    728518    730622    735230    741533    742510    746807    747161    747656    750223    751190    757243    757402    772777    782100    783064    783572    785237    789577    797223    801885    809156    819182    829504    831123    831208    831947    836848    838654    843158    846677    854578    855663    857603    873258    877415    882349
54,0.005456702253855279,140354    167944    201178    223725    26322    281245    308536    338797    364422    440154    478052    486370    499155    515792    524480    578407    608600    613340    805622    807842    814683    838423    845224
55,0.0018979833926453143,125783    23235    310572    373689    499481    581630    631006    812339
56,0.012099644128113879,116712    122040    159818    190493    216212    255934    277129    277209    280673    286369    302356    318111    348612    356218    367573    373256    377425    383749    385937    439388    441002    451473    453759    454337    463903    484179    490917    505324    517801    532848    557885    558005    567894    571477    588548    617215    638201    650351    683776    726612    729293    738648    752711    758505    76674    773640    796866    806723    814268    835645    854821
57,0.0056939501779359435,236186    362755    363315    476483    557613    591758    624667    680601    685313    695189    703998    732596    737948    742984    754578    806723    807131    807651    808663    815695    837062    841091    846644    852455
58,0.006168446026097271,101395    160169    198173    275731    316319    319787    350891    406334    408876    412202    429794    475566    516411    539992    589942    611589    632728    640101    659146    684732    700460    707018    738526    837034    857643    863349
59,0.0011862396204033216,741464    745844    806840    817510    885754
60,0.007354685646500593,113876    175349    308503    336132    450546    455390    475765    521068    523324    537226    599510    620728    620804    625562    637589    659824    707748    729293    737399    753032    754578    770280    772562    783183    815002    834587    859951    870925    875379    877525    884130
61,0.017556346381969158,100020    105216    137468    140786    157108    1808    182993    187727    188696    191404    193391    20401    205466    206282    212120    222423    241721    255046    259145    26004    263753    270511    280379    283969    287060    319089    32360    334137    339662    339924    362892    363093    375848    410958    414524    418611    437284    458194    473389    486644    496310    500235    505521    515319    519419    526950    530549    561285    599728    606406    606514    62789    631213    659098    661421    673542    676083    677382    69338    707861    710853    71433    716412    723756    730888    741134    765782    81124    822120    841309    843544    856516    862261    9904
62,0.00047449584816132857,330902    509922
63,0.00023724792408066428,523472
64,0.00166073546856465,303931    368408    418126    473846    524400    663552    814683
65,0.0018979833926453143,260383    403805    620728    661116    706775    72681    734527    816235
66,0.00047449584816132857,842082    862261
67,0.0026097271648873074,258505    359301    423051    466678    496527    632270    678395    707929    762760    829753    840832
68,0.0014234875444839859,307355    338057    479074    545787    610342    708894
69,0.0009489916963226571,297651    770213    772562    884646
70,0.022301304863582443,100772    165371    176747    197321    201426    219162    253396    257147    268344    334324    346238    354864    358772    366023    376820    376822    381353    383530    396136    422800    422982    431986    438622    444906    450546    463013    463170    470386    473610    476658    482385    488967    490917    495533    512969    522341    532278    542379    546891    547492    561664    567167    571192    571477    579276    584296    589223    589561    607563    619082    632270    632728    661568    666086    679829    683776    688658    692309    692447    701544    703828    718100    718939    723775    745184    750556    752237    761514    764677    765019    771673    796333    803967    805649    807108    809321    809532    810448    813871    821403    829229    831202    837010    837139    845603    856732    858309    861446    862857    863349    869212    876024    881628    881851
71,0.00166073546856465,3393    359835    500080    538108    541841    675025    820957
72,0.00023724792408066428,853235
73,0.010913404507710557,102072    118806    12664    13099    137146    145276    146273    164046    16806    177439    188739    194047    195671    196843    218616    23235    241140    241800    249069    25924    266714    268383    277574    297665    300034    328128    353019    361757    362020    393467    399246    409872    422737    444654    460477    510978    57985    581540    674999    684494    723756    742133    74328    745844    762558    806120
74,0.0033214709371293,131600    138740    166123    177899    232824    273733    342066    370376    455067    486815    510978    633186    650198    848744
75,0.007829181494661922,111090    128222    13451    168378    201221    20840    252748    268082    269922    287665    313234    313334    315264    319089    322870    341214    376722    458514    470007    477162    498891    527237    548936    559658    559799    612781    613282    631154    645522    648219    672702    796121    99166
76,0.00047449584816132857,249682    701440
77,0.0009489916963226571,254591    652372    772385    850969
78,0.0035587188612099642,306240    330790    402157    412549    413938    435291    442041    459617    499155    503317    504419    694467    790267    869157    869206
79,0.018030842230130486,102230    112335    113876    11892    13451    135808    15820    167197    174330    174785    175918    183083    1845    188615    193427    193462    200268    201529    212976    222776    230561    232240    243512    251760    25769    278369    299414    301731    317853    327752    34783    351423    372591    384610    395293    422800    43556    44035    475162    498025    50412    510705    512310    513118    53000    562724    567643    574977    578479    584261    59574    6110    62687    643946    65728    660743    660771    670697    684926    690240    704527    743575    7486    75269    75480    785068    789630    816619    816870    817502    821424    827553    840271    857572    86289    93080
80,0.0033214709371293,134328    32420    395775    451572    489655    490950    50508    697334    708318    735453    797646    798541    821763    876139
81,0.0028469750889679717,161729    346238    524239    530106    661781    674577    699790    713279    844435    845353    861446    873893
82,0.002135231316725979,138700    163308    242713    319008    56542    589011    629828    691054    93624
83,0.006405693950177936,103293    201178    252934    305311    306802    363705    434568    450440    486370    514112    515792    521575    526225    599103    604757    657863    658367    686073    697104    710981    732338    735959    754970    766463    798585    855652    874157
84,0.002372479240806643,102121    251555    351423    616849    62116    666999    670901    870197    876024    91281
85,0.0009489916963226571,296328    813936    845269    858560
86,0.0037959667852906285,183695    191517    308897    342981    389243    398041    405241    420566    442858    494756    509672    593598    762407    812457    820957    859572
87,0.0014234875444839859,264272    398041    478052    505521    708865    883166
88,0.0033214709371293,236131    275921    319285    382578    56415    577863    588051    602128    619650    809559    819781    852340    869066    878141
89,0.002135231316725979,174330    223709    322070    355882    362755    606668    620066    721538    758872
90,0.0033214709371293,117071    253396    25924    264082    314502    32360    329794    360530    390739    415375    496695    559770    699122    796333
91,0.00166073546856465,250982    334182    460477    511382    607451    701440    871410
92,0.0014234875444839859,30210    47038    670300    672885    674109    83839
93,0.0033214709371293,148950    253236    292201    327853    556278    573933    611741    623946    656189    661116    707565    738377    779989    790865
94,0.00830367734282325,164682    177335    204012    214764    261233    307657    364189    377425    406863    409231    412435    480788    540038    549655    574494    576832    588051    614623    653170    665475    680167    691409    696930    741303    760383    773040    784285    799624    825556    826940    845134    846619    849681    86010    877736
95,0.00498220640569395,111090    354864    359403    442630    470755    473601    507941    537214    547788    556093    560078    645522    707929    709608    774363    778121    784593    792766    796121    831130    873054
96,0.006880189798339265,105695    180392    206282    233132    283266    299421    304642    308503    350323    363127    396495    44014    459967    474367    480044    513118    566519    571398    571409    588164    603860    644162    770161    797145    801633    854645    86718    874123    884819
97,0.0007117437722419929,685770    790865    80070
98,0.004270462633451958,137159    247996    383530    384610    406863    422529    495213    502169    576832    632162    728575    750557    753256    753261    798541    849245    882212    884901
99,0.0026097271648873074,119299    147300    160832    189348    272172    375091    43104    57993    584733    613267    815069
100,0.0026097271648873074,201426    216368    270110    373968    463587    469711    524518    567723    61423    673393    759512
101,0.0014234875444839859,156622    398041    513005    608690    608747    780726
102,0.0037959667852906285,205466    220936    287079    306431    437317    440154    447822    453631    480345    539992    599728    661567    686073    707456    759512    77011
103,0.00166073546856465,208606    260729    276925    296687    342934    496970    514268
104,0.0033214709371293,139133    145424    15030    235014    32980    387448    495023    534795    652426    672704    816870    81856    82846    92062
105,0.0007117437722419929,504252    656400    831543
106,0.0037959667852906285,166366    172879    185128    291831    355862    399878    446883    454758    471732    472740    514781    602689    675441    676623    699557    723756
107,0.00166073546856465,100164    140700    166681    259384    645210    791553    843629
108,0.0035587188612099642,156622    20401    253418    264965    403805    589878    612174    643125    661826    729980    741134    802487    823431    849681    875804
109,0.002135231316725979,152464    200585    290810    355542    506392    610437    692303    734834    840181
110,0.00830367734282325,116241    117013    133892    134218    166366    166450    177637    1845    213758    214948    229423    241751    315963    322870    346238    351613    366324    366534    368914    372809    407293    411437    473601    585239    59254    686792    713657    759193    759879    765793    778510    81140    84375    847916    881501
111,0.012099644128113879,132829    141822    168378    171839    185128    193600    207267    207510    213751    238762    243318    280852    288015    299421    333710    358900    381548    389166    409078    418051    437202    476658    514226    521068    532848    602678    609746    610980    630044    638700    650351    661342    661568    662255    677382    707519    710853    714196    726612    737727    769162    774172    783183    813103    818801    819219    845951    849245    853862    859951    877260
112,0.008540925266903915,127777    130667    147300    1486    150158    162829    23047    251634    25643    287777    301731    30210    366534    370376    389166    416607    426517    472017    510431    522631    543891    545787    578479    587837    617490    618116    636695    658976    661300    714196    77325    805742    815002    836445    85978    881410
113,0.0011862396204033216,148950    322070    52752    61479    811286
114,0.0018979833926453143,157108    253418    486592    636668    661826    761368    774172    880734
115,0.002372479240806643,158039    181287    336111    408843    423289    476255    518144    549645    748475    772053
116,0.011387900355871887,102449    117135    121644    133892    147093    148950    151739    192654    235518    278418    283513    285601    301180    361799    385414    402452    403460    415463    439292    473854    490279    524846    541896    550070    566905    568421    58161    582510    593913    612186    637527    638789    685031    708438    71667    721755    725827    728202    740200    746176    751429    756147    826573    849334    853430    853569    862294    875697
117,0.0035587188612099642,104027    141922    153808    164342    172019    182840    202356    281826    423370    450356    477436    650193    739109    751429    845951
118,0.0018979833926453143,274625    367179    375091    376820    376822    453744    564194    597619
