Topic Number,Score,Documents
60,0.002652519893899204,129284    132677    53768
61,0.009725906277630416,101119    117548    1261    154531    164855    176566    30660    66330    76599    82718    86636
62,0.0008841732979664014,24223
63,0.0008841732979664014,90353
64,0.0035366931918656055,126552    168283    23375    57194
65,0.026525198938992044,100529    104958    112938    132694    151129    160695    165661    168374    171505    172807    172915    179627    183808    191417    192166    22901    28416    30660    34558    44118    47046    51999    58401    60871    7490    87002    90521    9174    94286    97973
66,0.030061892130857647,104727    112938    11487    116420    126886    130186    131207    131696    134005    138613    156496    157565    16090    173526    173843    174408    180491    181705    183808    184877    192166    29577    29828    34558    40737    41214    48886    52428    56198    59935    66330    68067    77641    95186
67,0.007957559681697613,118515    119947    12534    145306    152277    71466    8854    90354    97648
68,0.0017683465959328027,134842    20070
69,0.0008841732979664014,71278
70,0.0017683465959328027,1518    8821
71,0.0008841732979664014,47109
72,0.007073386383731211,111419    127297    152933    159567    171810    33889    50723    8822
73,0.0008841732979664014,73921
74,0.0017683465959328027,148635    49120
75,0.008841732979664015,130071    133824    140496    15504    170833    19155    21768    52582    87228    93437
76,0.015915119363395226,105384    109265    118018    129924    132570    134125    146140    185460    187316    190217    24973    30144    54089    62842    64810    9012    90343    9231
77,0.0017683465959328027,139741    15267
78,0.0017683465959328027,105697    177798
79,0.0008841732979664014,3552
80,0.0008841732979664014,121004
81,0.0035366931918656055,112661    121181    146398    99384
82,0.005305039787798408,108632    129296    141227    159572    47936    48581
83,0.0017683465959328027,176696    77641
84,0.0008841732979664014,165574
85,0.0017683465959328027,134246    89991
86,0.010610079575596816,107602    152933    157869    189775    24083    25742    30200    42185    44449    54918    75308    98244
87,0.0017683465959328027,105855    49615
88,0.0017683465959328027,107199    39457
89,0.0017683465959328027,43099    64810
90,0.005305039787798408,121041    173526    184877    185502    187601    96719
91,0.011494252873563218,104927    111959    117127    125640    131272    139128    151763    168283    19748    31581    33116    41618    80764
92,0.007957559681697613,117961    135955    18383    18453    35781    36346    46018    46024    95530
93,0.0035366931918656055,119184    145617    36117    52582
94,0.0008841732979664014,29363
95,0.007957559681697613,107922    130186    13757    177336    33161    35869    39457    91569    95252
96,0.0017683465959328027,175178    44449
97,0.005305039787798408,100807    102142    134349    189904    44118    80314
98,0.0035366931918656055,166740    18299    25464    78037
99,0.0035366931918656055,129924    14874    158180    59001
100,0.0008841732979664014,114951
101,0.0,
102,0.0017683465959328027,102748    116420
103,0.007073386383731211,103433    107337    170602    188243    35274    40599    40609    86049
104,0.0017683465959328027,100827    60789
105,0.005305039787798408,116420    133197    141136    16818    31186    96901
106,0.002652519893899204,110782    148635    58768
107,0.00618921308576481,121801    151867    154961    171505    184877    58401    96719
108,0.002652519893899204,150257    18103    94625
109,0.0008841732979664014,181663
110,0.0008841732979664014,157869
